id,name,effect,god,rarity,mana,type,set,collectable,live,art_id,lib_id,tribe.String,tribe.Valid,attack.Int64,attack.Valid,health.Int64,health.Valid
1252,Living Container,"Soulless. Roar: Destroy a friendly creature. Afterlife: Summon that creature from the void, and give it +2/+2.",death,rare,2,creature,core,True,true,C468,L2-253,nether,True,1,True,1,True
1259,Petulant Firespreader,"After this creature attacks, deal 1 damage to each god.",death,common,1,creature,core,True,true,C2-260,L2-260,nether,True,2,True,2,True
262,Mark of the Warden,"Give a creature ""At the end of your turn, randomly gain +1 strength or +1 health. Afterlife: Add a random Nature card to your hand"".",nature,common,2,spell,genesis,True,true,C201,L1-262,,False,0,False,0,False
100003,"Orax, Shield of Pain","Leech. Whenever your god is attacked, deal 2 damage to the attacker and remove 1 durability from this relic.",war,legendary,4,weapon,genesis,False,true,C1-T001-1,L1-T001,,False,0,True,4,True
1030,Sand Scorpion,Deadly. Roar: Select an Anubian from your void and trigger its afterlife.,death,common,5,creature,core,True,true,C815,L2-031,anubian,True,2,True,5,True
1066,Void Drake,Roar: Destroy each creature with 3 health or less.,death,epic,7,creature,core,True,true,C746,L2-067,dragon,True,7,True,7,True
1265,Malissian Magistrate,"Roar: Give a friendly Anubian ""Afterlife: Return this creature to the board and remove this text.""",death,epic,3,creature,core,True,true,C2-266,L2-266,anubian,True,3,True,3,True
100151,Reanimated Corpse,Afterlife: Summon a 2/2 Reanimated Ghoul.,death,common,2,creature,core,False,true,C824,L2-T083,,False,2,True,2,True
2737,Lash Out,Deal 4 damage to a random enemy creature. Repeat once if you have fewer creatures than your opponent.,nature,common,3,spell,dread,True,true,C13-135,L13-135,,False,0,False,0,False
2724,Infested Satyr,"Afterlife: Summon a 1/1 Ant with blitz. If it’s your turn, summon another Ant.",nature,common,2,creature,dread,True,true,C13-124,L13-124,wild,True,2,True,2,True
2515,Rotting Dreadwyrm,Afterlife: Summon two 5/5 Dreadwraiths.,death,epic,7,creature,tides,True,true,C12-115,L12-115,dragon,True,5,True,1,True
2518,Incineration,Obliterate any amount of cards in your void. Give that amount as burn to an enemy creature.,death,rare,0,spell,tides,True,true,C12-118,L12-118,,False,0,False,0,False
2519,Voidwatch Serpent,Soulless. Afterlife: Trigger the afterlife of a random Dragon in your void.,death,rare,2,creature,tides,True,true,C12-119,L12-119,dragon,True,2,True,3,True
2520,All To Ashes,Give burn +2 to each creature. Deal damage to each creature equal to their burn.,death,rare,5,spell,tides,True,true,C12-120,L12-120,,False,0,False,0,False
2521,Blackfire Fledgling,Afterlife: Deal 3 damage to the weakest enemy creature and your opponent's god.,death,rare,3,creature,tides,True,true,C12-121,L12-121,dragon,True,3,True,2,True
2549,Dreadwraith,Soulless.,death,epic,7,creature,tides,False,true,C12-115-T1,L12-115-T1,dragon,True,5,True,5,True
2516,Vasek's Awakening,Summon the top Dragon of your void.  Manasurge 7: Repeat.,death,epic,4,spell,tides,True,true,C12-116,L12-116,,False,0,False,0,False
2522,Abyssal-born Draka,"Twin strike.  After this is summoned from the void, gain blitz.",death,rare,4,creature,tides,True,true,C12-122,L12-122,dragon,True,5,True,4,True
2523,Transfer Beyond,Trigger a friendly creature's afterlife. Destroy that creature.,death,common,3,spell,tides,True,true,C12-123,L12-123,,False,0,False,0,False
2525,Thermal Power,"Draw two cards. While this is in your hand, after a creature leaves your void, reduce the mana cost of this by 1.",death,common,5,spell,tides,True,true,C12-125,L12-125,,False,0,False,0,False
2527,Draka Omenbinder,Manasurge 6: Summon a Dragon from your void.,death,common,2,creature,tides,True,true,C12-127,L12-127,dragon,True,2,True,3,True
2528,Deepwater Whelp,Afterlife: Draw a Dragon.,death,common,1,creature,tides,True,true,C12-128,L12-128,dragon,True,1,True,2,True
2529,Omenseed,Afterlife: Summon a 4/1 Abyssal Omen.,death,common,3,creature,tides,True,true,C12-129,L12-129,dragon,True,4,True,1,True
2550,Abyssal Omen,Soulless.,death,common,3,creature,tides,False,true,C12-129-T1,L12-129-T1,,False,4,True,1,True
2530,Shovelskull,"Frontline.  After this is summoned from your void, gain +3 health.",death,common,6,creature,tides,True,true,C12-130,L12-130,dragon,True,6,True,6,True
2531,Touch of the Abyss,Draw a creature with afterlife. Manasurge 6: Trigger its afterlife.,death,common,2,spell,tides,True,true,C12-131,L12-131,,False,0,False,0,False
2532,Voidjaw Dragon,"After this is summoned from the void, destroy the strongest enemy creature.",death,common,7,creature,tides,True,true,C12-132,L12-132,dragon,True,8,True,6,True
2467,"Digby, The Emerald Peril","Roar: If you don't control Captain Thibbs, summon Captain Thibbs.",deception,legendary,6,creature,tides,True,true,C12-067,L12-067,guild,True,3,True,2,True
2543,Captain Thibbs,"Blitz. After this attacks and survives, pull the weakest creature to your hand.",deception,legendary,4,creature,tides,False,true,C12-067-T1,L12-067-T1,guild,True,6,True,4,True
2468,Admiral Mayday,Roar: Deal 1 damage. Repeat this for each time you have played an Admiral Mayday.,deception,legendary,3,creature,tides,True,true,C12-068,L12-068,guild,True,1,True,1,True
2469,Faceless Benefactor,"Leech. After a creature is returned to hand during your turn, deal 3 damage to your opponent’s god.",deception,epic,5,creature,tides,True,true,C12-069,L12-069,guild,True,3,True,6,True
2470,Stormshroud,Give your creatures hidden for 1 turn.  Manasurge 6: Give your god hidden until the start of your next turn.,deception,epic,4,spell,tides,True,true,C12-070,L12-070,,False,0,False,0,False
2471,Tendrils of Dread,Swap your opponent's deck and void.,deception,epic,8,spell,tides,True,true,C12-071,L12-071,,False,0,False,0,False
2472,Swaggering Saboteur,Roar: Shuffle your hand into your deck. Draw the same amount of cards.,deception,epic,4,creature,tides,True,true,C12-072,L12-072,guild,True,3,True,5,True
2473,Shore Leave,Return two friendly Guilds to hand.  Manasurge 4: Shuffle this into your deck.,deception,rare,1,spell,tides,True,true,C12-073,L12-073,,False,0,False,0,False
2474,Roguish Recruiter,"After a creature is returned to hand on your turn, summon a 1/1 Rogue Skulker with deadly.",deception,rare,2,creature,tides,True,true,C12-074,L12-074,guild,True,2,True,3,True
2475,Crew of Two,"After this is returned to hand, reduce its mana cost by 2. Roar: Summon a Crew of Two.",deception,common,6,creature,tides,True,true,C12-075,L12-075,guild,True,3,True,3,True
2476,Illusionist Outlaw,Can't sleep.  Roar: Shuffle three Fleeting Illusions into your deck that cast when drawn.,deception,rare,3,creature,tides,True,true,C12-076,L12-076,guild,True,2,True,2,True
2544,Fleeting Illusion,Casts when drawn.  Draw a card. Summon a 4/3 Shadow Ship.,deception,rare,3,spell,tides,False,true,C12-076-T1,L12-076-T1,,False,0,False,0,False
2545,Shadow Ship,,deception,rare,3,creature,tides,False,true,C12-076-T2,L12-076-T2,structure,True,4,True,3,True
2477,A Toast to Plunder,Pull the top 3 cards of your opponent's void into your hand.,deception,rare,5,spell,tides,True,true,C12-077,L12-077,,False,0,False,0,False
2478,Daring Escape,Return a friendly Guild to hand. Reduce its mana cost by 2 until the end of turn.,deception,rare,0,spell,tides,True,true,C12-078,L12-078,,False,0,False,0,False
1750,Static Aetherbug,"Ward. After you play a spell, deal 1 damage to a random enemy character.",magic,rare,1,creature,core,True,true,C2-301,L2-301,aether,True,1,True,1,True
1003,Arkmonian Onslaught,Give +3 strength and twin strike to each friendly Amazon.,nature,common,5,spell,core,True,true,C953,L2-004,,False,0,False,0,False
1761,Sanctum Guardian,Regen 1. Roar: Gain +1 health if you control another Amazon.,nature,rare,1,creature,core,True,true,C2-312,L2-312,amazon,True,1,True,3,True
2610,Cornered Howler,"Confused. Blitz. Roar: If your opponent controls more creatures than you, summon a copy of this.",nature,rare,3,creature,dread,True,true,C13-011,L13-011,wild,True,3,True,2,True
2524,Tempest Altar,Pull the top 5 creatures of your deck to your void.  Manasurge 9: Summon 5 Dragons from your void.,death,common,6,spell,tides,True,true,C12-124,L12-124,,False,0,False,0,False
2609,Wayward Hut,"Can't attack. After a friendly Wild is summoned, add a Mutation to your hand.",nature,rare,1,creature,dread,True,true,C13-010,L13-010,structure,True,2,True,3,True
2512,"Lokhart, Dreadsiren","Overkill. After this is summoned from the void, attack each enemy creature.",death,legendary,8,creature,tides,True,true,C12-112,L12-112,dragon,True,9,True,9,True
2513,Burial Wyrm,Roar: Trigger the afterlife of a Dragon in your void.,death,epic,3,creature,tides,True,true,C12-113,L12-113,dragon,True,3,True,3,True
2482,Eiko's Expedition,Draw two spells.  Manasurge 7: Reduce their mana cost by 2.,deception,common,3,spell,tides,True,true,C12-082,L12-082,,False,0,False,0,False
2483,Second-Rate First Mate,Roar: Summon two 1/1 Rogue Skulkers.  Manasurge 5: Give +1 strength and blitz to each friendly Rogue Skulker.,deception,rare,1,creature,tides,True,true,C12-083,L12-083,guild,True,0,True,1,True
2484,Crooked Quartermaster,"Ally: Select a Stoneskin Poison, Hunting Trap or Trapdoor and add it to your hand. Each can only be selected once until this is removed from the board.",deception,common,2,creature,tides,True,true,C12-084,L12-084,guild,True,1,True,3,True
2485,Walk the Plank,Return a creature to hand.  Manasurge 6: Repeat.,deception,common,3,spell,tides,True,true,C12-085,L12-085,,False,0,False,0,False
1001,Carnage Sweep,"Deal 2 damage to each creature. If you have a relic equipped, deal damage equal to its strength instead.",war,common,5,spell,core,True,true,C955,L2-002,,False,0,False,0,False
145,Dread Queen Persephone,"At the start of your turn, a random creature in your hand with the lowest mana cost goes to the void. Summon a random highest mana cost creature from your void.",death,legendary,6,creature,genesis,True,true,C1-145,L1-145,olympian,True,3,True,7,True
160,Dangerous Ritual,Deal 4 damage to each god. Draw a card.,death,common,2,spell,genesis,True,true,C31,L1-160,,False,0,False,0,False
203,Ares Peacemaker,"At the start of your turn, destroy all creatures.",death,rare,4,creature,genesis,True,true,C269,L1-203,,False,0,True,7,True
253,Wasteful Shax,"Regen 2. At the end of your opponents turn, obliterate a random creature in your hand. Destroy Wasteful Shax if you cannot.",death,common,2,creature,genesis,True,true,C222,L1-253,nether,True,3,True,6,True
304,The Harvester,"Whenever a creature dies, deal 2 damage to both gods. When your god takes damage, heal your god for 2. When your god is healed, this creature gets +1 strength.",death,legendary,6,creature,genesis,True,true,C155,L1-304,nether,True,3,True,4,True
335,Reborn Pharaoh,"Roar: Give a random other Anubian ""Afterlife: Pull this creature from the void into your hand.""",death,rare,3,creature,genesis,True,true,C344,L1-335,anubian,True,3,True,2,True
1053,Devouring Blade,Blitz. Afterlife: Destroy a random creature.,war,epic,4,weapon,core,True,true,C2-054-1,L2-054,,False,4,True,1,True
1149,"Hector, Prince of Troy","Roar: If any of the creatures in your void have blitz, flank, frontline, leech, protected, or twin strike, this creature gains those keywords.",war,legendary,7,creature,core,True,true,C751,L2-150,olympian,True,6,True,6,True
1180,Enduring Shield,"After you attack with this relic, give protected to your strongest creature without protected.",war,common,2,weapon,core,True,true,C536,L2-181,,False,1,True,2,True
100066,Warrior,"Roar: This creature randomly gains flank, twin strike, or leech. It also randomly gains +1 strength or +1 health.",war,common,2,creature,core,False,true,C755,L2-T002,,False,2,True,2,True
48,Ignean Roulette,"Draw three cards, then pull two random cards from your hand onto the bottom of your deck.",deception,common,1,spell,genesis,True,true,C354,L1-048,,False,0,False,0,False
2479,Pocket Pair,Draw a card. Manasurge 5: Repeat.,deception,common,1,spell,tides,True,true,C12-079,L12-079,,False,0,False,0,False
2481,Scavenger Impling,Manasurge 5: Pull the top two cards from your opponent’s void to your hand.,deception,common,4,creature,tides,True,true,C12-081,L12-081,nether,True,5,True,4,True
2608,Unnatural Selection,Choose two creatures. They swap strength with each other.,nature,rare,2,spell,dread,True,true,C13-009,L13-009,,False,0,False,0,False
2607,Hunter's Guide,"After a friendly Wild is summoned from anywhere other than your hand, give it blitz and +1 strength.",nature,epic,1,creature,dread,True,true,C13-008,L13-008,,False,1,True,3,True
2605,Raid Swarm,"Deal 2 damage to an enemy creature. If it survives, summon two 1/1 Ants with blitz.",nature,epic,2,spell,dread,True,true,C13-006,L13-006,,False,0,False,0,False
79,Hunger Daemon,Roar: Destroy a friendly creature and this creature gains its strength and health.,death,rare,3,creature,genesis,True,true,C392,L1-079,nether,True,3,True,3,True
124,Fusing Fleshspawn,Roar: Destroy a friendly creature. This creature gains health equal to that creature's strength.,death,epic,1,creature,genesis,True,true,C348,L1-124,nether,True,3,True,1,True
2480,Fighting Fair,Deal damage to an enemy creature equal to its strength.  Manasurge 5: Repeat.,deception,common,3,spell,tides,True,true,C12-080,L12-080,,False,0,False,0,False
2407,Faith Eternal,Give your god protected. Draw a card.  Manasurge 5: Give +2 strength and leech to your relic.,light,rare,2,spell,tides,True,true,C12-007,L12-007,,False,0,False,0,False
2402,Blade of the Creator,"At the start of the game, if your deck contains only Light cards, put this in your mulligan and set its mana cost to 0. Roar: Set your god's max health to 99.",light,legendary,5,weapon,tides,True,true,C12-002,L12-002,,False,0,True,5,True
2408,Hieragon,"At the end of each turn, if your god has 50 or more health, gain protected and ward.",light,rare,5,creature,tides,True,true,C12-008,L12-008,atlantean,True,6,True,5,True
2409,Nightwatch Warden,"At the end of your turn, heal your god for 3.",light,rare,4,creature,tides,True,true,C12-009,L12-009,atlantean,True,2,True,6,True
2410,Moon's Mercy,"Pull an enemy creature to the bottom of your opponent's deck. While this is in your hand, at the start of your turn, if you have 50 or more health, set this card's mana cost to 3.",light,rare,5,spell,tides,True,true,C12-010,L12-010,,False,0,False,0,False
2411,Altruism,"Heal a friendly Atlantean for 4. If it is overhealed, deal 4 damage to all enemy creatures.",light,rare,5,spell,tides,True,true,C12-011,L12-011,,False,0,False,0,False
2412,Gilded Anomaly,"After this is overhealed on your turn, delve a Light spell.",light,rare,3,creature,tides,True,true,C12-012,L12-012,atlantean,True,3,True,2,True
2413,The Circle,Heal all characters for 3. Manasurge 6: Repeat.,light,common,0,spell,tides,True,true,C12-013,L12-013,,False,0,False,0,False
2414,Shimmering Spire,Heal your god for 15.  Manasurge 8: Repeat.,light,common,7,spell,tides,True,true,C12-014,L12-014,,False,0,False,0,False
2415,Tidal Prayer,Delve a spell in your deck and draw it. Manasurge 4: Reduce its mana cost by 1.,light,common,1,spell,tides,True,true,C12-015,L12-015,,False,0,False,0,False
2416,Surgelight,Soulless. Heal 4. Manasurge 5: Add a Surgelight to your hand.,light,common,2,spell,tides,True,true,C12-016,L12-016,,False,0,False,0,False
2417,Inspired Simulacrum,Set a creature's strength and health to 1. Summon a 10/10 copy of it.,light,common,8,spell,tides,True,true,C12-017,L12-017,,False,0,False,0,False
2418,Tilgoff's Dog,"Protected. Can't attack.  After your god is healed, attack the strongest enemy creature.",light,common,3,creature,tides,True,true,C12-018,L12-018,atlantean,True,3,True,4,True
2419,Dawndrone,Heal boost +1.,light,common,1,creature,tides,True,true,C12-019,L12-019,atlantean,True,1,True,3,True
2420,Beam Seraph,Heal boost +2.,light,common,4,creature,tides,True,true,C12-020,L12-020,atlantean,True,4,True,5,True
2421,Wave Breaker,Frontline. Can't sleep. Manasurge 8: Summon a Wave Breaker.,light,common,6,creature,tides,True,true,C12-021,L12-021,atlantean,True,6,True,6,True
2422,Crystal Vespid,"Once per turn, after your god is healed, summon a 1/1 Crystal Vespid and give it blitz.",light,common,2,creature,tides,True,true,C12-022,L12-022,atlantean,True,1,True,1,True
2489,"Arrandion, Ancient Leykeeper","Spell boost +5.  Roar: Delve a Magic spell.  Manasurge 9: Set the mana cost of spells in your hand to 0. At the end of the turn, reset their mana cost.",magic,legendary,8,creature,tides,True,true,C12-089,L12-089,dragon,True,5,True,12,True
2490,"Francesca, Surging Signal","Roar: If you control 4 or more other Atlanteans, obliterate them all and summon Project R.I.S.E.",magic,legendary,4,creature,tides,True,true,C12-090,L12-090,atlantean,True,5,True,4,True
2546,Project R.I.S.E.,"Frontline. Godblitz. Protected.  After this creature deals damage that destroys another creature, it can perform another attack this turn.",magic,legendary,7,creature,tides,False,true,C12-090-T1,L12-090-T1,atlantean,True,15,True,15,True
2491,Atlant Glider,"At the end of your turn, if the top card of your deck is an Atlantean, draw a spell.",magic,epic,4,creature,tides,True,true,C12-091,L12-091,atlantean,True,3,True,4,True
2492,Tinker Tinker,Put a copy of a friendly Atlantean on the top of your deck. Give the copy frontline and +1 armor.,magic,epic,1,spell,tides,True,true,C12-092,L12-092,,False,0,False,0,False
2493,Protracted Schematic,"After you play an Atlantean, reduce the mana cost of a spell in hand by 2, and remove 1 durability from this relic.",magic,epic,4,weapon,tides,True,true,C12-093,L12-093,,False,0,True,5,True
2494,Replicator Alpha,Manasurge 8: Summon two copies of this creature.  Afterlife: Summon a 3/3 Replicator Beta.,magic,epic,6,creature,tides,True,true,C12-094,L12-094,atlantean,True,3,True,3,True
2548,Replicator Beta,Afterlife: Summon a 1/1 Replicator Gamma.,magic,epic,6,creature,tides,False,true,C12-094-T1,L12-094-T1,atlantean,True,2,True,2,True
2547,Replicator Gamma,,magic,epic,6,creature,tides,False,true,C12-094-T2,L12-094-T2,atlantean,True,1,True,1,True
2495,Undertow Striker,"Protected. Roar: Draw a spell. At the end of the turn, obliterate it.",magic,rare,1,creature,tides,True,true,C12-095,L12-095,atlantean,True,1,True,1,True
2401,"Wakian, Boundless Kings","Heal boost +1.  After this is overhealed, split the amount overhealed as strength randomly among all friendly creatures.",light,legendary,3,creature,tides,True,true,C12-001,L12-001,atlantean,True,3,True,4,True
2403,Refractor Guardian,"After this is overhealed, deal this creature's strength as damage split randomly among all enemy creatures.",light,epic,4,creature,tides,True,true,C12-003,L12-003,atlantean,True,4,True,4,True
2404,Dawn of Invention,Pick One —  • Give +4 health to a creature. • Give heal boost +2 to a friendly Atlantean.  Manasurge 6: Do both.,light,epic,6,spell,tides,True,true,C12-004,L12-004,,False,0,False,0,False
2405,Prophet of Progress,"Godblitz. Twin strike. Roar: If your god has 50 or more health, gain +13/+13. Manasurge 7: If your god has 80 or more health, gain +13/+13.",light,epic,7,creature,tides,True,true,C12-005,L12-005,atlantean,True,4,True,4,True
180,Planetar Envoy,"Roar: If you're holding an Aether, select a creature from your opponent's void and add a copy to your hand.",magic,rare,6,creature,genesis,True,true,C391,L1-180,aether,True,5,True,6,True
2486,Atlant Compass,Ability: Return a friendly Guild to hand and remove 1 durability from this relic.,deception,common,2,weapon,tides,True,true,C12-086,L12-086,,False,0,True,2,True
2406,Grace of Sartonia,"Draw two cards. While this is in your hand, after your god is healed, reduce this card's mana cost by 1.",light,epic,5,spell,tides,True,true,C12-006,L12-006,,False,0,False,0,False
2710,Elderytch Blast,"Deal 2 damage to a creature. If it is destroyed, uncover Elderytch Mysteries.",magic,rare,2,spell,dread,True,true,C13-110,L13-110,,False,0,False,0,False
2709,Forbidden Knowledge,Unlock a mana lock. Uncover Elderytch Mysteries.,magic,rare,3,spell,dread,True,true,C13-109,L13-109,,False,0,False,0,False
2496,Echoing Sands,"Foresee 2.  Draw two cards. If they're both spells, reduce their mana cost by 3.",magic,rare,5,spell,tides,True,true,C12-096,L12-096,,False,0,False,0,False
2497,Atlant Raptor,"Roar: If the top card of your deck is an Atlantean, deal 2 damage.",magic,rare,2,creature,tides,True,true,C12-097,L12-097,atlantean,True,2,True,3,True
2498,Unshackled Archive,"Roar: If you're holding a spell, pick one —  • Gain +3 strength.  • Gain frontline and +1 armor.  Manasurge 7: Do both.",magic,rare,5,creature,tides,True,true,C12-098,L12-098,atlantean,True,4,True,4,True
2499,Crystaltechnics,Pick one —  • Summon a copy of a friendly Atlantean.  • Give two friendly Atlanteans +2/+2.  Manasurge 6: Do both.,magic,rare,4,spell,tides,True,true,C12-099,L12-099,,False,0,False,0,False
2500,Future Industries,"If the top card of your deck is an Atlantean, summon two 1/1 copies of it.  Manasurge 7: Instead, fill your board with 1/1 copies of it.",magic,rare,3,spell,tides,True,true,C12-100,L12-100,,False,0,False,0,False
2502,Undercity Sentry,Frontline. Can't attack.  Manasurge 7: Remove can't attack.,magic,common,6,creature,tides,True,true,C12-102,L12-102,atlantean,True,8,True,8,True
2503,Foresight Thesis,Draw any Atlanteans in the top 3 cards of your deck. Foresee 2.,magic,common,4,spell,tides,True,true,C12-103,L12-103,,False,0,False,0,False
2504,Diffusion,Deal a friendly Atlantean's strength as damage split randomly among all enemy creatures.,magic,common,2,spell,tides,True,true,C12-104,L12-104,,False,0,False,0,False
2505,Atlant Forager,"Roar: Foresee 2. Then, if the top card of your deck is an Atlantean, gain blitz.",magic,common,1,creature,tides,True,true,C12-105,L12-105,atlantean,True,2,True,1,True
2506,Excavations Analyst,"Roar: If the top card of your deck is an Atlantean, draw it.",magic,common,2,creature,tides,True,true,C12-106,L12-106,atlantean,True,3,True,2,True
2507,Wavepoint Patroller,"Roar: If the top card of your deck is an Atlantean, transform into it, and set this creature's strength and health to 3.",magic,common,3,creature,tides,True,true,C12-107,L12-107,atlantean,True,3,True,3,True
2508,Gigamonte,"Roar: Foresee 2. Then, if the top card of your deck is an Atlantean, set the mana cost of a spell in your hand to 0.",magic,common,7,creature,tides,True,true,C12-108,L12-108,atlantean,True,7,True,6,True
2509,Enduring Archive,"At the end of your turn, if the top card of your deck is an Atlantean, gain protected.",magic,common,4,creature,tides,True,true,C12-109,L12-109,atlantean,True,4,True,3,True
1602,Wretched Vanguard,Afterlife: Steal 1 health from your opponent's god.,death,common,1,creature,mortal,True,true,C10-112,L10-102,anubian,True,1,True,1,True
1610,Bifurcating Curse,Pick one: • Destroy each creature with an even mana cost. • Destroy each creature with an odd mana cost.,death,common,6,spell,mortal,True,true,C10-110,L10-110,,False,0,False,0,False
1660,Chiroptic Hemovore,"Roar: Deal 2 damage to your opponent's god, and heal your god for 2 health.",death,common,3,creature,mortal,True,true,C10-160,L10-160,nether,True,3,True,2,True
1001629,Blade Brigand,Soulless.  Roar: Give an enemy creature -2 strength.,deception,common,1,creature,mortal,False,true,C10-129-T1,L10-129-T1,guild,True,1,True,1,True
1001630,Shadowstep Frontstabber,"Soulless.  After you summon a creature from another domain, this creature gains deadly for 1 turn.",deception,common,1,creature,mortal,False,true,C10-130-T1-1,L10-130-T1,guild,True,1,True,1,True
2708,Lab Specimen,"Blitz. At the end of each turn, take 1 damage.",magic,common,3,creature,dread,True,true,C13-108,L13-108,,False,5,True,5,True
2707,Wererat,"After another creature survives damage, transform it into a 1/1 Rat.",magic,common,4,creature,dread,True,true,C13-107,L13-107,mystic,True,2,True,4,True
2705,Path of Magic,Delve a Magic spell with mana cost equal to your current unspent mana.,magic,common,1,spell,dread,True,true,C13-105,L13-105,,False,0,False,0,False
353,Sign of Avarice,"At the start of your turn, you gain the ability to use your god power twice during the turn. (Mana costs still apply.)",neutral,epic,4,creature,genesis,True,true,C293,L1-353,nether,True,3,True,3,True
307,Out of Its Misery,"Deal 1 damage to a friendly creature. If it dies, randomly pull a creature from your deck into your hand and give it +3/+3.",war,common,1,spell,genesis,True,true,C151,L1-307,,False,0,False,0,False
2450,Sartonian Spearfisher,"Roar: Deal 3 damage to an enemy creature. If it is destroyed, delve a Nature spell.",nature,epic,5,creature,tides,True,true,C12-050,L12-050,amazon,True,5,True,2,True
1511,Thaeric Extortionist,"Empower 2: Transform an enemy creature with strength 2 or less into a 1/1 Thaeric Militant, then gain control of it.",light,rare,1,creature,mortal,True,true,C10-011,L10-011,,False,1,True,1,True
1526,Academy Apprentice,Echo. Spell boost +1.,magic,common,2,creature,mortal,True,true,C10-026,L10-026,mystic,True,2,True,1,True
1540,Enthusiastic Fireslinger,"Echo. Ability: Deal 1 damage to an enemy character, then 1 more to a random enemy character.",magic,rare,4,creature,mortal,True,true,C10-040,L10-040,mystic,True,3,True,5,True
1573,"Dalia, Night Gardener","Echo. After a friendly creature is healed, summon a 1/4 Injured Sprout with regen 1 and ""After this creature is summoned it takes 3 damage.""",nature,legendary,4,creature,mortal,True,true,C10-073,L10-073,amazon,True,3,True,5,True
1698,"Helmna, The Spear of Life","Frontline.  After a friendly character is healed, this creature gains strength equal to the amount healed. Roar: Each friendly character is healed for 3.",neutral,legendary,7,creature,mortal,True,true,C10-198,L10-198,viking,True,2,True,8,True
2510,Manastarved Construct,Roar: Foresee 5. Gain strength equal to the number of Atlanteans you foresee.,magic,common,5,creature,tides,True,true,C12-110,L12-110,atlantean,True,0,True,7,True
2445,"Xansiddion, Waveruler",Hidden. Manasurge 8: Your god power becomes Primal Tide.,nature,legendary,7,creature,tides,True,true,C12-045,L12-045,dragon,True,6,True,6,True
2451,Vasek Isle,Soulless. Refresh 2 mana. Heal your god for 1. Manasurge 5: Add a Vasek Isle to your hand.,nature,rare,2,spell,tides,True,true,C12-051,L12-051,,False,0,False,0,False
2452,Shellback Sprinter,"After you refresh mana, add a random Nature card to your hand.",nature,rare,3,creature,tides,True,true,C12-052,L12-052,wild,True,3,True,2,True
2453,Undersea Spellwyrm,Roar: Look at three random spells in your opponent's hand. Transform one into an Undersea Spellwyrm.,nature,rare,5,creature,tides,True,true,C12-053,L12-053,dragon,True,4,True,5,True
2446,"Shredder, The Hunter","Blitz. After this attacks and destroys an enemy creature, split that creature’s strength and health randomly among all creatures in hand.",nature,legendary,6,creature,tides,True,true,C12-046,L12-046,wild,True,7,True,6,True
